1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
576	-1.035951	200.284250	0.025922	2.3
577	-0.872415	200.106955	0.010521	2.3
578	-0.870873	199.930078	0.015258	2.3
579	-1.061150	199.753617	0.027474	2.3
580	-0.985282	199.577571	0.029839	2.4
581	-0.449782	199.401938	0.007323	2.5
582	-0.560174	199.226717	0.016060	2.4
583	-0.677097	199.051905	0.007589	2.4
584	-0.515158	198.877502	0.004823	2.4
585	-0.928662	198.703506	0.024293	2.4
586	-0.685075	198.529916	0.010730	2.4
587	-0.984771	198.356729	0.021351	2.3
588	-0.824505	198.183944	0.011015	2.4
589	-0.915789	198.011560	0.008858	2.4
590	-0.808853	197.839576	0.024704	2.4
591	-0.464637	197.667989	0.011522	2.3
592	-1.015423	197.496798	0.010120	2.4
593	-0.726354	197.326002	0.008412	2.4
594	-0.858648	197.155600	0.010069	2.4
595	-0.471175	196.985589	0.005637	2.8
596	-0.913041	196.815969	0.026875	2.5
597	-0.449775	196.646738	0.010496	2.4
598	-1.050864	196.477894	0.037228	2.3
599	-1.064766	196.309436	0.044379	2.4
600	-0.674066	196.141363	0.012908	2.4
601	-0.881926	195.973673	0.014721	2.4
602	-0.589203	195.806365	0.021202	2.4
603	-0.638189	195.639437	0.007594	2.3
604	-0.475159	195.472888	0.017357	2.4
605	-0.725143	195.306717	0.017508	2.3
606	-0.222578	195.140922	0.015582	2.3
607	-0.496027	194.975501	0.011159	2.4
608	-0.746827	194.810454	0.007200	2.4
609	-1.104230	194.645779	0.012859	2.4
610	-0.935960	194.481475	0.009418	2.4
611	-0.630290	194.317540	0.010467	2.3
612	-0.499421	194.153973	0.008875	2.3
613	-0.841067	193.990773	0.008935	2.4
614	-0.989993	193.827938	0.022647	2.4
615	-0.503385	193.665467	0.005532	2.4
616	-0.852021	193.503358	0.019882	2.4
617	-0.671663	193.341611	0.006530	2.3
618	-0.827740	193.180224	0.021034	2.4
619	-0.146947	193.019196	0.005634	2.3
620	-0.870420	192.858525	0.010299	2.4
621	-0.338524	192.698210	0.003633	2.3
622	-0.807784	192.538251	0.007026	2.4
623	-0.909496	192.378644	0.011361	2.4
